exame;str_codigo_amb_autorizacao;autorizacao
USG DE TIREOIDE;40901203;NÃO
USG DE ABDOMEN TOTAL;40901122;NÃO
USG DE MAMAS;40901114;NÃO
USG DE TIREOIDE C/ DOPPLER;40901386;SIM
USG TRANSVAGINAL;40901300;NÃO
USG - ESTRUTURAS SUPERFICIAIS (CERVICAL OU MUSCULO OU TENDAO);40901211;NÃO
DENSITOMETRIA OSSEA 2 SEG;40808130;SIM
RM COLUNA CERVICAL;41101227;SIM
RM DE PELVE;41101189;SIM
USG PELVICA;40901181;NÃO
RM DE MAMAS SEM PRÓTESE;41101480;SIM
CORE BIOPSY POR USG;40808262;SIM
USG DE ABDOMEN TOTAL DOPPLER;40901386;SIM
USG TRANSVAGINAL COM PREPARO INTESTINAL;40901300;NÃO
MAMOTOMIA POR RM;40808300;SIM
USG DE MAMA C/ DOPPLER;40901386;SIM
USG - ESTRUTURAS SUPERFICIAIS (CERVICAL OU AXILAS OU MUSCULO OU TENDAO);40901211;NÃO
MAMOGRAFIA DIGITAL;40808041;SIM
USG DE PARTES MOLES;40901211;NÃO
DENSITOMETRIA OSSEA;40808130;SIM
USG DE RINS E VIA URINARIA;40901769;NÃO
RM DE JOELHO DIREITO;41101316;SIM
RM DE JOELHO ESQUERDO;41101316;SIM
USG OBST. COM DOPPLER;40901246;SIM
RM COLUNA LOMBAR;41101227;SIM
USG TRANSVAGINAL OBSTETRICO;40901297;NÃO
DOPPLER DE CAROTIDAS E VERTEBRAS;40901360;SIM
PAAF-PUNCAO AGUL. FINA TIRE;40809161;SIM
USG TRANSV. COM DOPPLER;40901386;SIM
RM COXO-FEMURAL DIREITA;41101316;SIM
MAMOTOMIA POR ESTEREOTAXIA;40808289;SIM
PAAF-PUNCAO AGUL. FINA MAMA;40808238;SIM
RM DE TORNOZELO DIREITO;41101316;SIM
RM ABDOMEN SUPERIOR;41101170;SIM
RM DE MAMAS COM PRÓTESE;41101480;SIM
USG MORFOLOGICO 2 TRIMESTRE;40901262;NÃO
USG TRANSVAGINAL PARA MEDIDA DO COLO;40901297;NÃO
RM PE DIREITO;41101308;SIM
RM DE MAMAS (BILATERAL);41101480;SIM
USG OBSTETRICA;40901238;NÃO
